Week,Objective,"Campaign ID","Ad set ID","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (EUR)","Cost per result",Starts,Ends,"CPC (cost per link click)","Link clicks","Landing page views","Clicks (all)","CPM (cost per 1,000 impressions)","Result rate","Cost per unique link click","Ad Set Budget","Ad Set Budget Type","Campaign Budget","Campaign Budget Type","Reporting starts","Reporting ends"
"2025-02-28 - 2025-03-01",LINK_CLICKS,120220823212200002,120220823212220002,completed,adset,3885,5221,1.34388674,"7-day click or 1-day view","Link clicks",166,7.38,0.04445783,2025-02-19,2025-03-08,0.04445783,166,9,159,1.41352231,3.17946753,0.05020408,"Using campaign budget",,72,Lifetime,2025-02-28,2025-03-01
"2025-02-21 - 2025-02-27",LINK_CLICKS,120220823212200002,120220823212220002,completed,adset,7374,16252,2.20395986,"7-day click or 1-day view","Link clicks",654,27.23,0.04163609,2025-02-19,2025-03-08,0.04163609,654,30,543,1.67548609,4.02412011,0.05932462,"Using campaign budget",,72,Lifetime,2025-02-21,2025-02-27
"2025-02-14 - 2025-02-20",LINK_CLICKS,120220823212200002,120220823212220002,completed,adset,3564,4504,1.2637486,"7-day click or 1-day view","Link clicks",147,5.89,0.04006803,2025-02-19,2025-03-08,0.04006803,147,20,165,1.30772647,3.26376554,0.04565891,"Using campaign budget",,72,Lifetime,2025-02-14,2025-02-20
"2024-12-06 - 2024-12-12",LINK_CLICKS,120217403071690002,120217403072650002,completed,adset,915,1034,1.13005464,"7-day click or 1-day view","Link clicks",63,3.06,0.04857143,2024-11-21,2024-12-07,0.04857143,63,39,73,2.95938104,6.09284333,0.05368421,"Using campaign budget",,2.7,Daily,2024-12-06,2024-12-12
"2024-11-29 - 2024-12-05",LINK_CLICKS,120217403071690002,120217403072650002,completed,adset,3427,5626,1.6416691,"7-day click or 1-day view","Link clicks",321,18.37,0.05722741,2024-11-21,2024-12-07,0.05722741,321,160,305,3.2651973,5.70565233,0.07120155,"Using campaign budget",,2.7,Daily,2024-11-29,2024-12-05
"2024-11-29 - 2024-12-05",LINK_CLICKS,120217403557620002,120217403559290002,completed,adset,2379,4538,1.90752417,"7-day click or 1-day view","Link clicks",87,6.1,0.07011494,2024-11-21,2024-12-02,0.07011494,87,39,63,1.3442045,1.91714412,0.08970588,2,Daily,"Using ad set budget",,2024-11-29,2024-12-05
"2024-11-22 - 2024-11-28",LINK_CLICKS,120217403071690002,120217403072650002,completed,adset,2799,4512,1.61200429,"7-day click or 1-day view","Link clicks",260,19.03,0.07319231,2024-11-21,2024-12-07,0.07319231,260,135,254,4.21764184,5.76241135,0.09562814,"Using campaign budget",,2.7,Daily,2024-11-22,2024-11-28
"2024-11-22 - 2024-11-28",LINK_CLICKS,120217403557620002,120217403559290002,completed,adset,2711,4213,1.5540391,"7-day click or 1-day view","Link clicks",169,14.05,0.08313609,2024-11-21,2024-12-02,0.08313609,169,66,151,3.33491574,4.01139331,0.10407407,2,Daily,"Using ad set budget",,2024-11-22,2024-11-28
"2024-11-15 - 2024-11-21",LINK_CLICKS,120217403557620002,120217403559290002,completed,adset,94,95,1.0106383,"7-day click or 1-day view","Link clicks",2,0.09,0.045,2024-11-21,2024-12-02,0.045,2,,2,0.94736842,2.10526316,0.045,2,Daily,"Using ad set budget",,2024-11-15,2024-11-21
"2024-11-15 - 2024-11-21",LINK_CLICKS,120217403071690002,120217403072650002,completed,adset,275,285,1.03636364,"7-day click or 1-day view","Link clicks",4,0.36,0.09,2024-11-21,2024-12-07,0.09,4,3,3,1.26315789,1.40350877,0.09,"Using campaign budget",,2.7,Daily,2024-11-15,2024-11-21
"2024-10-25 - 2024-10-31",OUTCOME_ENGAGEMENT,120216036283800002,120216036283850002,completed,adset,3022,4471,1.47948379,"7-day click or 1-day view","Post engagements",435,27.25,0.06264368,2024-10-18,2024-10-28,27.25,1,,359,6.09483337,9.72936703,27.25,7,Daily,"Using ad set budget",,2024-10-25,2024-10-31
"2024-10-18 - 2024-10-24",LINK_CLICKS,120215307385050002,120215307385040002,completed,adset,1157,1924,1.66292135,"7-day click or 1-day view","Link clicks",38,2.62,0.06894737,2024-09-23,2024-10-20,0.06894737,38,16,55,1.36174636,1.97505198,0.07485714,32,Lifetime,"Using ad set budget",,2024-10-18,2024-10-24
"2024-10-18 - 2024-10-24",OUTCOME_SALES,120215665844180002,120215665844200002,completed,adset,233,294,1.26180258,"7-day click or 1-day view",,,1.44,,2024-10-03,2024-10-19,0.36,4,2,10,4.89795918,,0.36,30,Lifetime,"Using ad set budget",,2024-10-18,2024-10-24
"2024-10-18 - 2024-10-24",OUTCOME_ENGAGEMENT,120216036283800002,120216036283850002,completed,adset,3617,6659,1.84102848,"7-day click or 1-day view","Post engagements",1213,47.29,0.03898599,2024-10-18,2024-10-28,4.729,10,1,888,7.10166692,18.21594834,4.729,7,Daily,"Using ad set budget",,2024-10-18,2024-10-24
"2024-10-11 - 2024-10-17",LINK_CLICKS,120215307385050002,120215307385040002,completed,adset,3981,10592,2.66063803,"7-day click or 1-day view","Link clicks",88,6.67,0.07579545,2024-09-23,2024-10-20,0.07579545,88,22,105,0.62972054,0.83081571,0.07847059,32,Lifetime,"Using ad set budget",,2024-10-11,2024-10-17
"2024-10-11 - 2024-10-17",OUTCOME_SALES,120215665844180002,120215665844200002,completed,adset,1347,2713,2.01410542,"7-day click or 1-day view",,,13.74,,2024-10-03,2024-10-19,0.429375,32,19,86,5.06450424,,0.49071429,30,Lifetime,"Using ad set budget",,2024-10-11,2024-10-17
"2024-10-04 - 2024-10-10",OUTCOME_SALES,120215665844180002,120215665844200002,completed,adset,1412,2532,1.79320113,"7-day click or 1-day view","Website checkouts initiated",3,14.68,4.89333333,2024-10-03,2024-10-19,0.367,40,12,80,5.79778831,0.11848341,0.39675676,30,Lifetime,"Using ad set budget",,2024-10-04,2024-10-10
"2024-10-04 - 2024-10-10",LINK_CLICKS,120215307385050002,120215307385040002,completed,adset,8401,22321,2.6569456,"7-day click or 1-day view","Link clicks",113,8.31,0.07353982,2024-09-23,2024-10-20,0.07353982,113,24,130,0.37229515,0.50624972,0.07914286,32,Lifetime,"Using ad set budget",,2024-10-04,2024-10-10
"2024-09-27 - 2024-10-03",OUTCOME_SALES,120215665844180002,120215665844200002,completed,adset,50,52,1.04,"7-day click or 1-day view",,,0.1,,2024-10-03,2024-10-19,,,,0,1.92307692,,,30,Lifetime,"Using ad set budget",,2024-09-27,2024-10-03
"2024-09-27 - 2024-10-03",LINK_CLICKS,120215307385050002,120215307385040002,completed,adset,10715,30925,2.88614092,"7-day click or 1-day view","Link clicks",105,9.11,0.0867619,2024-09-23,2024-10-20,0.0867619,105,14,126,0.29458367,0.33953112,0.09391753,32,Lifetime,"Using ad set budget",,2024-09-27,2024-10-03
"2024-09-20 - 2024-09-26",OUTCOME_AWARENESS,120214507469400002,120214507470590002,completed,adset,7333,7333,1,"7-day click or 1-day view",Reach,7333,1.66,0.22637393,2024-08-31,2024-09-21,0.332,5,,9,0.22637393,100,0.332,1.5,Daily,"Using ad set budget",,2024-09-20,2024-09-26
"2024-09-20 - 2024-09-26",LINK_CLICKS,120215307385050002,120215307385040002,completed,adset,5884,13869,2.35707002,"7-day click or 1-day view","Link clicks",69,5.29,0.07666667,2024-09-23,2024-10-20,0.07666667,69,15,83,0.3814262,0.49751244,0.08396825,32,Lifetime,"Using ad set budget",,2024-09-20,2024-09-26
"2024-09-13 - 2024-09-19",OUTCOME_AWARENESS,120214507469400002,120214507470590002,completed,adset,50696,53084,1.04710431,"7-day click or 1-day view",Reach,50696,11.56,0.22802588,2024-08-31,2024-09-21,0.55047619,21,,42,0.21776807,95.50146937,0.55047619,1.5,Daily,"Using ad set budget",,2024-09-13,2024-09-19
"2024-09-06 - 2024-09-12",OUTCOME_AWARENESS,120214507469400002,120214507470590002,completed,adset,41208,41600,1.00951272,"7-day click or 1-day view",Reach,41208,9.39,0.22786838,2024-08-31,2024-09-21,0.67071429,14,,32,0.22572115,99.05769231,0.67071429,1.5,Daily,"Using ad set budget",,2024-09-06,2024-09-12
"2024-08-30 - 2024-09-05",LINK_CLICKS,120214140892510002,120214140892700002,completed,adset,942,1017,1.07961783,"7-day click or 1-day view","Link clicks",21,3.53,0.16809524,2024-08-19,2024-09-01,0.16809524,21,12,32,3.47099312,2.06489676,0.16809524,"Using campaign budget",,1.2,Daily,2024-08-30,2024-09-05
"2024-08-30 - 2024-09-05",OUTCOME_AWARENESS,120214507469400002,120214507470590002,completed,adset,43776,46710,1.06702303,"7-day click or 1-day view",Reach,43776,7.86,0.17955044,2024-08-31,2024-09-21,0.71454545,11,,26,0.16827232,93.71868979,0.71454545,1.5,Daily,"Using ad set budget",,2024-08-30,2024-09-05
"2024-08-23 - 2024-08-29",LINK_CLICKS,120214140892510002,120214140892700002,completed,adset,2087,2621,1.25586967,"7-day click or 1-day view","Link clicks",60,8.59,0.14316667,2024-08-19,2024-09-01,0.14316667,60,37,78,3.27737505,2.28920259,0.15618182,"Using campaign budget",,1.2,Daily,2024-08-23,2024-08-29
"2024-08-16 - 2024-08-22",LINK_CLICKS,120214140892510002,120214140892700002,completed,adset,1100,1334,1.21272727,"7-day click or 1-day view","Link clicks",34,3.45,0.10147059,2024-08-19,2024-09-01,0.10147059,34,20,42,2.5862069,2.54872564,0.11129032,"Using campaign budget",,1.2,Daily,2024-08-16,2024-08-22
"2024-08-02 - 2024-08-08",LINK_CLICKS,120213520420700002,120213520420750002,completed,adset,1505,1793,1.19136213,"7-day click or 1-day view","Link clicks",34,3.87,0.11382353,2024-07-30,2024-08-12,0.11382353,34,17,46,2.15839375,1.89626325,0.11382353,"Using campaign budget",,1,Daily,2024-08-02,2024-08-08
"2024-07-26 - 2024-08-01",LINK_CLICKS,120213520420700002,120213520420750002,completed,adset,646,728,1.12693498,"7-day click or 1-day view","Link clicks",17,1.9,0.11176471,2024-07-30,2024-08-12,0.11176471,17,12,25,2.60989011,2.33516484,0.11875,"Using campaign budget",,1,Daily,2024-07-26,2024-08-01
"2024-07-26 - 2024-08-01",LINK_CLICKS,120213078826680002,120213078826740002,completed,adset,2027,2462,1.21460286,"7-day click or 1-day view","Link clicks",106,6,0.05660377,2024-07-11,2024-07-31,0.05660377,106,63,122,2.43704305,4.30544273,0.06593407,"Using campaign budget",,1,Daily,2024-07-26,2024-08-01
"2024-07-19 - 2024-07-25",LINK_CLICKS,120213078826680002,120213078826740002,completed,adset,2517,3148,1.25069527,"7-day click or 1-day view","Link clicks",112,6.98,0.06232143,2024-07-11,2024-07-31,0.06232143,112,81,131,2.21728081,3.55781449,0.06776699,"Using campaign budget",,1,Daily,2024-07-19,2024-07-25
"2024-07-19 - 2024-07-25",LINK_CLICKS,120213078877750002,120213078877730002,completed,adset,2041,3481,1.7055365,"7-day click or 1-day view","Link clicks",271,3.98,0.01468635,2024-07-11,2024-07-21,0.01468635,271,2,252,1.14334961,7.78511922,0.0162449,2,Daily,"Using ad set budget",,2024-07-19,2024-07-25
"2024-07-12 - 2024-07-18",LINK_CLICKS,120212854744540002,120212854744650002,completed,adset,798,814,1.02005013,"7-day click or 1-day view","Link clicks",24,1.59,0.06625,2024-07-02,2024-07-12,0.06625,24,17,29,1.95331695,2.94840295,0.06913043,"Using campaign budget",,2,Daily,2024-07-12,2024-07-18
"2024-07-12 - 2024-07-18",LINK_CLICKS,120213078826680002,120213078826740002,completed,adset,2953,3687,1.24856079,"7-day click or 1-day view","Link clicks",106,7,0.06603774,2024-07-11,2024-07-31,0.06603774,106,62,128,1.89856252,2.8749661,0.07142857,"Using campaign budget",,1,Daily,2024-07-12,2024-07-18
"2024-07-12 - 2024-07-18",LINK_CLICKS,120213078877750002,120213078877730002,completed,adset,5267,9696,1.84089615,"7-day click or 1-day view","Link clicks",426,14.13,0.03316901,2024-07-11,2024-07-21,0.03316901,426,117,472,1.45730198,4.39356436,0.04374613,2,Daily,"Using ad set budget",,2024-07-12,2024-07-18
"2024-07-05 - 2024-07-11",LINK_CLICKS,120212854744540002,120212854744650002,completed,adset,4785,6291,1.31473354,"7-day click or 1-day view","Link clicks",153,14.29,0.09339869,2024-07-02,2024-07-12,0.09339869,153,86,198,2.27149897,2.43204578,0.09923611,"Using campaign budget",,2,Daily,2024-07-05,2024-07-11
"2024-07-05 - 2024-07-11",LINK_CLICKS,120213078826680002,120213078826740002,completed,adset,12,12,1,"7-day click or 1-day view",,,0,,2024-07-11,2024-07-31,,,,0,0,,,"Using campaign budget",,1,Daily,2024-07-05,2024-07-11
"2024-07-05 - 2024-07-11",LINK_CLICKS,120213078877750002,120213078877730002,completed,adset,67,68,1.01492537,"7-day click or 1-day view",,,0.03,,2024-07-11,2024-07-21,,,,0,0.44117647,,,2,Daily,"Using ad set budget",,2024-07-05,2024-07-11
"2024-06-28 - 2024-07-04",LINK_CLICKS,120212854744540002,120212854744650002,completed,adset,1524,1741,1.14238845,"7-day click or 1-day view","Link clicks",80,4.07,0.050875,2024-07-02,2024-07-12,0.050875,80,41,87,2.33773693,4.59506031,0.05355263,"Using campaign budget",,2,Daily,2024-06-28,2024-07-04
"2024-06-28 - 2024-07-04",LINK_CLICKS,120212541714260002,120212541714270002,completed,adset,3078,4600,1.49447693,"7-day click or 1-day view","Link clicks",264,9.31,0.03526515,2024-06-18,2024-07-02,0.03526515,264,33,282,2.02391304,5.73913043,0.03995708,30,Lifetime,"Using ad set budget",,2024-06-28,2024-07-04
